index,filename,width,height,unique,blur,mean,min,max,stdv,file_size
0,scene_classification_clean/data/buildings/0.jpg,150,150,256,3704.571045,165.391769,0.000000,255.000000,83.970161,11089
1,scene_classification_clean/data/buildings/10006.jpg,150,150,256,5396.819824,132.035721,0.000000,255.000000,77.244492,16802
2,scene_classification_clean/data/buildings/10014.jpg,150,150,256,4955.033691,155.753662,0.000000,255.000000,64.967903,17533
3,scene_classification_clean/data/buildings/10018.jpg,150,150,256,7551.458984,75.730820,0.000000,255.000000,67.132980,12311
4,scene_classification_clean/data/buildings/1001.jpg,150,150,256,4495.334473,121.386307,0.000000,255.000000,65.985146,16869
5,scene_classification_clean/data/buildings/10029.jpg,150,150,256,2108.104004,103.846138,0.000000,255.000000,84.912781,13964
6,scene_classification_clean/data/buildings/10032.jpg,150,150,256,4287.296875,147.791702,0.000000,255.000000,61.384659,16371
7,scene_classification_clean/data/buildings/10056.jpg,150,150,256,5182.065430,130.934326,0.000000,255.000000,67.538689,17443
8,scene_classification_clean/data/buildings/1009.jpg,150,150,256,2970.622070,136.336517,0.000000,255.000000,71.778267,13641
9,scene_classification_clean/data/buildings/10113.jpg,150,150,256,4312.875488,127.889275,0.000000,255.000000,63.704781,16464
10,scene_classification_clean/data/buildings/10126.jpg,150,150,256,4874.263184,97.427551,0.000000,255.000000,78.735085,15860
11,scene_classification_clean/data/buildings/1012.jpg,150,150,256,2871.023926,143.792862,0.000000,255.000000,65.194702,14886
12,scene_classification_clean/data/buildings/10144.jpg,150,150,256,13125.998047,117.752701,0.000000,255.000000,75.351738,22119
13,scene_classification_clean/data/buildings/10151.jpg,150,150,256,2526.047852,122.574806,0.000000,255.000000,64.890869,12710
14,scene_classification_clean/data/buildings/10161.jpg,150,150,256,4178.028320,102.614922,0.000000,255.000000,61.549301,15769
15,scene_classification_clean/data/buildings/10165.jpg,150,150,256,4382.486328,98.557365,0.000000,255.000000,72.939995,17191
16,scene_classification_clean/data/buildings/10176.jpg,150,150,256,4460.441895,147.223175,0.000000,255.000000,58.147240,16453
17,scene_classification_clean/data/buildings/10184.jpg,150,150,255,4064.571289,105.494019,0.000000,255.000000,40.125366,12969
18,scene_classification_clean/data/buildings/10185.jpg,150,150,256,8364.201172,118.454330,0.000000,255.000000,70.301208,18790
19,scene_classification_clean/data/buildings/10191.jpg,150,150,256,4923.957031,124.908333,0.000000,255.000000,63.848755,18558
20,scene_classification_clean/data/buildings/10196.jpg,150,150,256,4293.788086,131.500137,0.000000,255.000000,75.778358,16796
21,scene_classification_clean/data/buildings/10198.jpg,150,150,256,2903.827881,152.190231,0.000000,255.000000,65.793732,14847
22,scene_classification_clean/data/buildings/10205.jpg,150,150,256,3521.644287,129.551651,0.000000,255.000000,81.869041,14756
